,publisher,genres,title,id,developer,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,year
92019,IndieGala,"Action, Indie",Blockstorm,263060.0,GhostShark,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92020,"The Lo-Fi Apocalypse, Inc.","Action, Indie, Strategy, Early Access",OBEY,346970.0,Dez,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015
92021,KISS ltd,"Casual, Indie",True Bliss,361620.0,Artur Mandas,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92024,S2 Games,"Action, Free to Play, RPG, Strategy",Strife®,339280.0,S2 Games,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2015
92025,NeocoreGames,"Action, Adventure, Indie, RPG",The Incredible Adventures of Van Helsing III,359900.0,NeocoreGames,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2015
92026,Andrettin,"Adventure, Indie, Strategy",Wyrmsun,370070.0,Andrettin,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015
92027,Robot Gentleman,"Adventure, Casual, Indie, Simulation, Strategy",60 Seconds!,368360.0,Robot Gentleman,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2015
92028,OM ENTERTAINMENT,Racing,CHARIOT WARS,365460.0,OM ENTERTAINMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015
92029,Bethesda Softworks,Action,The Evil Within: The Executioner,359930.0,Tango Gameworks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92030,Forever Entertainment S. A.,"Indie, Racing, Simulation, Sports",Teddy Floppy Ear - The Race,371420.0,Forever Entertainment S. A.,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2015
92031,For All To Play,"Adventure, Casual, Indie",Grail to the Thief,373140.0,For All To Play,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014
92032,John Wizard,"Indie, RPG, Strategy",Lilly and Sasha: Nexus of Souls,370040.0,John Wizard,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2015
92033,Orangepixel,"Action, Adventure, RPG",Heroes of Loot,359280.0,Orangepixel,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
92034,No Pest Productions,"Action, Adventure, Indie",A Bastard's Tale,371550.0,No Pest Productions,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92035,Global Empire Soft,"Casual, Indie, Early Access",Man Alive,339560.0,Global Empire Soft,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92038,Frogmind,"Action, Adventure, Indie",BADLAND: Game of the Year Edition,269670.0,Frogmind,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92039,"XSEED Games, Marvelous USA, Inc.","Action, Adventure, Casual, RPG",AKIBA'S TRIP: Undead ＆ Undressed,333980.0,ACQUIRE Corp.,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
92040,Frogmind,"Action, Adventure, Indie",BADLAND: Game of the Year Edition - Digital Art Booklet &amp; Ambient Soundtrack,367210.0,Frogmind,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92041,Degica,"Action, Indie",Crimzon Clover WORLD IGNITION - Superplay Strategy Guide,326310.0,"YOTSUBANE,Adventure Planning Service",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92042,Degica,"Action, Indie",Crimzon Clover WORLD IGNITION - Arcade Poster Pack,373090.0,"YOTSUBANE,Adventure Planning Service",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92043,Degica,"Action, Indie",Crimzon Clover WORLD IGNITION - Arranged Sound Track,358800.0,"YOTSUBANE,Adventure Planning Service",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92044,Night Node,"Action, Indie, Simulation",Orbital Gear Soundtrack,358880.0,Night Node,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015
92046,"KaleidoGames, Indie Tribe","Action, Indie",Vortex Attack: ボルテックスアタック,357890.0,KaleidoGames,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92047,HandMade Game,"Adventure, Casual, Indie",Rooms: The Unsolvable Puzzle - Original Soundtrack,374750.0,HandMade Game,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92048,Digital Dreams Entertainment LLC,"Indie, Simulation",Carnivores: Dinosaur Hunter Reborn,293520.0,Digital Dreams Entertainment LLC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015
92049,Mudvark,"Adventure, Indie",Rituals,359190.0,Tymon Zgainski,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92050,roseVeRte,"Adventure, Casual, Indie, Simulation",East Tower - Takashi,356540.0,roseVeRte,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2012
92051,Future Proof Games,"Adventure, Indie",Ossuary,363500.0,"Gregory Avery-Weir,Melissa Avery-Weir",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013
92052,Plug In Digital,"Casual, Indie, Strategy",Hills Of Glory 3D,317920.0,"AMA,Mando Productions",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015
92053,Mastertronic,"Indie, Simulation",0RBITALIS,278440.0,Alan Zucconi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015
92054,Lucky Pause,"Adventure, Indie",Homesick,244910.0,Lucky Pause,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92055,Ghostlight LTD,"Action, Indie",Flame Over,345080.0,Laughing Jackal LTD,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92057,Plug In Digital,"Casual, Indie, Strategy",Sleep Attack,366210.0,Bad Seed,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015
92059,Kalypso Media Digital,"RPG, Simulation, Strategy",Tropico 5 - Espionage,284441.0,Haemimont Games,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2015
92060,"Diggidy.net, LLC","Indie, Simulation",Lunch Truck Tycoon,375180.0,"Diggidy.net, LLC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015
92062,Hello There AB,Action,Kung Fury: Street Rage,373180.0,Hello There AB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92063,"Sports Mogul, Inc.","Casual, Simulation, Sports, Strategy",Football Mogul 2014,371850.0,"Sports Mogul, Inc.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2013
92064,Web Interactive Solutions,"Action, Indie",Toy Wars Invasion,346490.0,Web Interactive Solutions,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92066,"KOEI TECMO GAMES CO., LTD.",Action,BLADESTORM: Nightmare,350310.0,"KOEI TECMO GAMES CO., LTD.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92069,Amaranth Games,RPG,Stargazer,373440.0,John Wizard,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
92070,Giorgi Abelashvili,Indie,Alter World,357280.0,Giorgi Abelashvili,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92071,Corrosive Studios LLC,"Action, Adventure, Indie, RPG, Simulation, Strategy",Waste Walkers,371100.0,Corrosive Studios LLC,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2015
92072,Aldorlea Games,"Adventure, Indie, RPG",Official Guide - Millennium 4,357090.0,Aldorlea Games,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2015
92073,BeamNG,"Racing, Simulation, Early Access",BeamNG.drive,284160.0,BeamNG,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015
92074,Meridian4,"Adventure, Casual, Indie",The Silent Age,352520.0,House On Fire,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92075,BBQ Games,"Action, Indie",Tiamat X,343340.0,BBQ Games,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92076,Dovetail Games - Flight,Simulation,FSX: Steam Edition - Diamond DA40 Add-On,364323.0,Lionheart Creations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92077,Corrosive Studios LLC,"Action, Adventure, Indie, RPG, Simulation, Strategy",Waste Walkers Prepper's Edition DLC,371350.0,Corrosive Studios LLC,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2015
92078,Corrosive Studios LLC,"Action, Adventure, Indie, RPG, Simulation, Strategy",Waste Walkers Resource Toolkit DLC,374660.0,Corrosive Studios LLC,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2015
92079,Mark Chong,"Action, Indie, Simulation",stratO,341680.0,Mark Chong,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015
92080,N/A,"Action, Casual, Indie",Scribble Space,351450.0,Coty Getzelman,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92081,Double Fine Productions,"Indie, Strategy",MASSIVE CHALICE,246110.0,Double Fine Productions,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015
92082,Destructive Creations,"Action, Indie",Hatred,341940.0,Destructive Creations,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92083,Creoteam,"Indie, Simulation, Sports, Strategy, Early Access",Football Tactics,375530.0,Creoteam,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,2015
92084,Digital Dawn Studios,"Action, Adventure, Indie, Massively Multiplayer, Simulation, Early Access",Sirius Online,368720.0,Digital Dawn Studios,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2015
92085,EZDesigner,"Action, Adventure, Indie",DNO Rasa's Journey,376160.0,EZDesigner,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92086,Digital Leisure Inc.,"Casual, Free to Play, Massively Multiplayer, Simulation",The Four Kings Casino and Slots,260430.0,Digital Leisure Inc.,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2015
92087,AGM PLAYISM,"Indie, RPG",Artifact Adventure,359440.0,bluffman,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2015
92088,1C-777,Simulation,Rise of Flight: ILYA Muromets,360020.0,777 Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92089,DiggerWorld Ltd.,"Action, Adventure",Digger Online,278970.0,DiggerWorld Ltd.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92090,Dovetail Games - Flight,Simulation,FSX: Steam Edition - Oban Airport (EGEO) Add-On,352182.0,SIM720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92091,Stamina-Games,"Action, Indie, Sports, Early Access",Soccer Rage,356510.0,Stamina-Games,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015
92092,Next Dimension Game Adventures Ltd.,"Action, Adventure, Indie, RPG","I, Gladiator - Kolhid Sword",359530.0,Steel Monkeys,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2015
92093,astragon Sales &amp; Services GmbH,"Simulation, Strategy",RESCUE 2: Everyday Heroes,339210.0,Fragment Production Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2015
92094,Guerrilla Bandit,"Action, Indie",ZombieRun,358840.0,Guerrilla Bandit,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92095,Mystik'Art,"Adventure, Indie, Strategy",Rolling Sun,371670.0,Mystik'Art,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015
92096,dustinaux,"Indie, RPG",The Enchanted Cave 2,368610.0,dustinaux,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2015
92097,Dovetail Games - Flight,Simulation,FSX: Steam Edition - Piper Pacer 180 Add-On,364325.0,Lionheart Creations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92098,(none),"Indie, Simulation, Strategy, Early Access",Stonehearth,253250.0,Radiant Entertainment,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2015
92100,Bluestrike,"Casual, Indie, Racing",Spheritis,314050.0,Bluestrike,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2015
92101,Super Icon Ltd,"Action, Indie",Vektor Wars,365760.0,Super Icon Ltd,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92102,Russpuppy,"Action, Casual, Indie",Spooky Cats,372210.0,Russpuppy,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92104,VoxelStorm,"Indie, Simulation, Strategy",AdvertCity Soundtrack,366130.0,VoxelStorm,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2014
92105,EightyEightGames,"Action, Casual, Indie, RPG, Strategy",You Must Build A Boat,290890.0,EightyEightGames,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2015
92106,Adult Swim Games,"Action, Indie",Duck Game,312530.0,Landon Podbielski,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92107,Activision,Action,Call of Duty®: Advanced Warfare - Lagoon Personalization Pack,343593.0,"Sledgehammer Games,Raven Software",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92108,Activision,Action,Call of Duty®: Advanced Warfare - Tiki Personalization Pack,343591.0,"Sledgehammer Games,Raven Software",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92109,Shark Punch,"Action, Indie, Strategy",The Masterplan,313080.0,Shark Punch,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015
92110,Activision,Action,Call of Duty®: Advanced Warfare - Backdraft Personalization Pack,343592.0,"Sledgehammer Games,Raven Software",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92111,Activision,Action,Call of Duty®: Advanced Warfare - Psychedelic Personalization Pack,343594.0,"Sledgehammer Games,Raven Software",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92112,BrashMonkey,"Animation &amp; Modeling, Design &amp; Illustration, Utilities",Spriter: Game Effects Pack,333770.0,BrashMonkey,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015
92113,Libredia,"Action, Casual",Fury Of The Gods,373460.0,Spectral Games,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92114,AGM PLAYISM,"Adventure, Casual, Indie",D4: Dark Dreams Don’t Die -Season One-,358090.0,Access Games,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92115,AGM PLAYISM,"Adventure, Casual, Indie",D4: Special Costume Set -12 Beers-,373560.0,Access Games,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92116,AGM PLAYISM,"Adventure, Casual, Indie",D4: Mini Soundtrack,372510.0,Access Games,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92117,AGM PLAYISM,"Adventure, Casual, Indie",D4: Special Art Book,372511.0,Access Games,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92118,AGM PLAYISM,"Adventure, Casual, Indie",D4: Season One Voice Over Script,372512.0,Access Games,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92119,Anarchy Enterprises,"Action, Casual, Indie",Tiki Man,376920.0,Anarchy Enterprises,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92120,Tall Studios,"Animation &amp; Modeling, Design &amp; Illustration, Education, Utilities, Early Access",Shoot 'Em Up Kit,369190.0,Tall Studios,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015
92122,Makivision Games,Indie,Way to Go!,336230.0,Makivision Games,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92124,"Vertex Games, S.C.",Indie,Rolling Shapes,371280.0,"Vertex Games, S.C.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92125,Soloweb Studios,"Action, Indie",Aero's Quest,367780.0,"Soloweb Studios,Ravens Eye Studio",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92126,InterAction studios,"Action, Casual, Indie",Chicken Invaders 3,377460.0,InterAction studios,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92127,Silver Goblet Games,"Action, Adventure, Indie, RPG",Titanis,365060.0,Silver Goblet Games,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2015
92128,Paradox Interactive,"Simulation, Strategy",Content Pack - Europa Universalis IV: Common Sense,373150.0,Paradox Development Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2015
92129,Paradox Interactive,"Simulation, Strategy",Expansion - Europa Universalis IV: Common Sense,338163.0,Paradox Development Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2015
92130,Panic Art Studios,"Action, Adventure, Indie, Massively Multiplayer, RPG",Hero Siege - Amazon (Class),376660.0,"Elias Viglione,Jussi Kukkonen",1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2015
92134,Flying Interactive,"Casual, Indie",Fox &amp; Flock,377760.0,Smarter Games,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92136,"Plug In Digital, Argonauts Interactive","Indie, Strategy",Galactic Inheritors,322540.0,Crispon Games,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015
92140,Rockstar Games,"Action, Adventure",GTA Online: Shark Cash Cards,376850.0,Rockstar North,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92144,Atari,"Action, Adventure",Alone in the Dark: Illumination™,275060.0,Pure FPS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92145,Koch Media,Simulation,US Diesel Lokomotiven - Set 1,335490.0,"TREND, Soft Pro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92146,Koch Media,Simulation,US Diesel Lokomotiven - Set 2,335491.0,"TREND, Soft Pro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92147,Koch Media,Simulation,"Modellset 1 - Bahnhof, Häuser, Scheunen",335492.0,"TREND, Soft Pro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92148,En Masse Entertainment,"Action, Adventure, Free to Play, Massively Multiplayer, RPG",TERA: Totes the Portable Pet Bank,377180.0,"Bluehole Inc.,En Masse Entertainment",1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2015
92149,Midnight City,"Action, Indie",Avalanche 2: Super Avalanche,351250.0,Beast Games,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92150,Grey Box,Strategy,Grey Goo - Emergence Campaign,357180.0,Petroglyph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015
92152,Heartbit Interactive,"Action, Casual, Indie",Miner Warfare,354620.0,Heartbit Interactive,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012
92153,Viva Media,"Action, Adventure, Indie",Son of Nor Item: Moon's Touch Bracer,338700.0,stillalive studios,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92154,Viva Media,"Action, Adventure, Indie",Son of Nor Item: Diadem of Nor,338690.0,stillalive studios,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92155,"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)","Action, Adventure",LEGO® Jurassic World,352400.0,"TT Games Ltd,Feral Interactive (Mac)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92156,Viva Media,"Action, Adventure, Indie",Son of Nor: Warriors of Nor,336900.0,stillalive studios,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92158,Fruitbat Factory,"Indie, Strategy",100% Orange Juice - Krila &amp; Kae Character Pack,376200.0,Orange_Juice,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015
92159,"CAPCOM Co., Ltd.",Action,5 Blue Orbs,359494.0,"CAPCOM Co., Ltd.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92160,Dolores Entertainment,"Action, Indie",Ice Cream Surfer,361560.0,Dolores Entertainment,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92161,DYA Games,Indie,Super Star Path Soundtrack,378910.0,DYA Games,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92162,Kobra Studio,"Action, Adventure, Indie, Early Access",Second Warfare,372740.0,Kobra Studio,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92163,Aeria Games,"Free to Play, Massively Multiplayer, RPG",Echo of Soul,290140.0,Mr. Blue,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2015
92164,rokaplay,Casual,Atlantic Quest Solitaire,379260.0,rokaplay,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92165,DYA Games,"Action, Indie",Super Star Path,375120.0,DYA Games,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92166,Doomster Entertainment,Indie,Koala Kids,381870.0,Doomster Entertainment,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92167,Marcelo Barbosa,"Action, Indie",Tcheco in the Castle of Lucio,377600.0,Marcelo Barbosa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92168,THQ Nordic,"Indie, RPG, Strategy",Shadowrun 5th Edition Rules pdf,377730.0,Cliffhanger Productions,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2015
92169,Zoo Corporation,Casual,Mahjong Pretty Girls Battle : School Girls Edition,379960.0,Zoo Corporation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
92170,Dubrovkin Sergei,"Casual, Indie",Electric Circuit,360850.0,Dubrovkin Sergei,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92171,Dovetail Games - Flight,Simulation,FSX: Steam Edition - Stornoway Airport (EGPO) Add-On,352183.0,SIM720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92172,Dovetail Games - Flight,Simulation,FSX: Steam Edition - Piper PA-38 Tomahawk II Add-On,355641.0,Alabeo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92173,Dovetail Games - Flight,Simulation,FSX: Steam Edition - R66 Turbine Add-On,364321.0,Alabeo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92174,Dovetail Games - Trains,Simulation,Train Simulator: DB BR 120 Loco Add-On,277776.0,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92175,Dovetail Games,Simulation,Eaos Wagon Pack,326006.0,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92177,KarjaSoft,"Casual, Indie, RPG",Spandex Force: Champion Rising,380560.0,KarjaSoft,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2015
92178,Zeiva Inc,"Adventure, Casual, Indie, Simulation",Area-X,350550.0,Zeiva Inc,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013
92180,From Soy Sauce LLC,"Action, Adventure, Indie",Glass Wing,382570.0,From Soy Sauce LLC,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92181,The Quadsphere,"Action, Indie, RPG",Icarus-X: Tides of Fire,375000.0,The Quadsphere,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2015
92182,Surprise Attack,"Adventure, Indie, Strategy",Fort Meow,352070.0,Upper Class Walrus,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015
92185,Dovetail Games - Trains,Simulation,Train Simulator: Weardale &amp; Teesdale Network Route Add-On,277777.0,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92186,Guard Crush Games,"Action, Indie",Streets of Fury EX,350910.0,Guard Crush Games,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92188,Dovetail Games - Trains,Simulation,Train Simulator: BR Class 105 DMU Add-On,277778.0,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015
92190,Kieffer Bros.,"Casual, Indie",Blockwick 2,377660.0,Kieffer Bros.,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
92191,Black Shell Media,"Action, Indie, RPG, Simulation, Early Access",DinoSystem,373750.0,Capribyte Studios,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2015
92192,United Independent Entertainment GmbH,"Casual, Simulation, Sports",Hot Pinball Thrills,373810.0,"Fancy Bytes, Reactor",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2015
92193,United Independent Entertainment GmbH,"Casual, Simulation, Sports",Soccer Pinball Thrills,373820.0,"Fancy Bytes, Reactor",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2015
